Company Name,Excel Company ID,Year,Total Revenue,Gross Profit,EBITDA,EBIT,Net Income,Cash And Equivalents,Total Cash and ST Investments,Net Property,Total Assets,Total Debt,Total Equity,Capital Expenditure,Dividends per share
Kwan On Holdings Ltd (SEHK:8305),IQ269933702,2008,41.6,13.7,1.63,0.121,7.34,,,,,,,,
KWG Property Holdings Ltd (SEHK:1813),IQ34902484,2008,166.7,31.5,-2.94,-8.48,-2.7,246.2,459.1,93.5,4592.9,1264.8,1939.4,46.9,0.006
Kwoon Chung Bus Holdings Limited (SEHK:306),IQ882664,2008,123.7,10.5,0.775,0.035,2.4,31.9,31.9,200.7,461.6,81.8,207.1,86.5,0.005
L & A International Holdings Limited (SEHK:8195),IQ273683917,2008,1098.6,597,655.4,468.3,348.7,,,,,,,,
L'Occitane International S.A. (SEHK:973),IQ20949560,2008,248,52.1,19.1,-16.7,-9.67,85.3,85.4,112.9,642.7,84,338.9,46.8,0.052
L'sea Resources International Holdings Limited (SEHK:195),IQ49924177,2008,97.6,6.02,3.29,2.15,0.567,11.3,11.3,10.6,44.8,7.93,32.1,1.61,0
L.K. Technology Holdings Limited (SEHK:558),IQ29383163,2008,1620.7,138.5,64.9,49.5,31.7,30.3,30.3,72.8,298.7,70.8,162,13.5,0.009
Labixiaoxin Snacks Group Limited (SEHK:1262),IQ22277517,2008,553.6,57.6,48,33.3,18.7,7.24,7.24,84.3,156.6,7.91,110.6,15.2,0
Lafe Corporation Limited (SGX:AYB),IQ2206826,2008,2451.2,784.4,602.1,347.7,250.3,23.9,23.9,13,298.4,58,189.8,0.356,0.108
Lai Fung Holdings Ltd. (SEHK:1125),IQ7652929,2008,9235.6,1545.3,758.4,612.8,330.6,293,293,118.4,2167.4,494.4,1283,0,0.001
Lai Sun Development Co. Ltd. (SEHK:488),IQ875133,2008,728.1,211.8,24.7,2.5,38.4,220.1,228.9,58.9,1910.9,328.8,1319.9,4.64,0
Lai Sun Garment (International) Limited (SEHK:191),IQ875874,2008,3241.1,1088.5,870.3,814.9,658.2,3.97,3.97,35.5,683.5,54.1,606,0,0
Lajin Entertainment Network Group Limited (SEHK:8172),IQ7654878,2008,518.1,11.7,4.78,1.89,1.86,1.07,2.04,0.373,5.06,8.52,-8.3,0.484,0
Lam Soon Hong Kong Ltd. (SEHK:411),IQ8192151,2008,1495.7,764.3,543.4,495.1,256.1,92.8,92.8,86.6,303.2,37.1,221.9,7.4,0.026
Landing International Development Limited (SEHK:582),IQ20343776,2008,836.9,138.4,61.3,51.4,19.2,19.9,19.9,15.5,105.1,0,99.6,1.54,0
"Landsea Green Properties Co., Ltd. (SEHK:106)",IQ4497166,2008,,,,,,81.7,93.8,0.279,233.6,0,216,0.087,0
Langham Hospitality Investments Limited (SEHK:1270),IQ240304008,2008,,,,,,,,,,,,,
Lansen Pharmaceutical Holdings Limited (SEHK:503),IQ104485764,2008,94,75.3,0,0,23.4,13.1,13.1,19.5,86.9,33.9,32.7,1.24,0.328
LanTroVision (S) Ltd (SGX:Q7W),IQ7652932,2008,,,,,,32.7,43,4.36,94.1,0.464,69.8,0.877,0
"Lanzhou Zhuangyuan Pasture Co., Ltd. (SEHK:1533)",IQ105851159,2008,,,,,,,,,,,,,
Lap Kei Engineering (Holdings) Limited (SEHK:8369),IQ129851974,2008,2148,619.3,55.4,37.1,28.7,,,,,,,,
Larry Jewelry International Company Limited (SEHK:8351),IQ69126748,2008,141.6,34.6,7.31,0.223,0.787,0.149,0.158,0.002,6.06,2.11,0.684,0.003,0
Lasseters International Holdings Limited (Catalist:5EL),IQ11323004,2008,159.4,27.7,-15.9,-16.2,-99.4,7.77,11,96.9,234.5,48.7,73.7,10.1,0
Launch Tech Company Ltd. (SEHK:2488),IQ4287528,2008,,,,,,20.6,20.7,49.3,194.2,67.4,106.8,8.99,0
LC Group Holdings Limited (SEHK:1683),IQ295832698,2008,779.5,208,112.6,91.2,85.5,,,,,,,,
LCD Global Investments Ltd (SGX:L38),IQ878463,2008,,,,,,13.5,45.7,277.6,365.2,56.8,261.9,9.74,0.005
Le Saunda Holdings Limited (SEHK:738),IQ876505,2008,140.2,140.2,0,0,20.8,50.7,54.2,17.8,160.7,0,140.9,6.42,0.012
Leader Environmental Technologies Limited (SGX:LS9),IQ108546539,2008,,,,,,7.61,7.61,0.579,43.8,0.747,18.8,0.15,0
Leap Holdings Group Limited (SEHK:1499),IQ309080959,2008,95.1,11.5,-3.89,-9.12,-10.3,,,,,,,,
Lee & Man Chemical Company Limited (SEHK:746),IQ5746434,2008,,,,,,11.8,11.8,183,272.5,79.4,133.4,65.4,0.007
Lee & Man Handbags Holding Limited (SEHK:1488),IQ118762864,2008,1930.5,1270.9,1194.9,1192.4,1311.5,6.46,6.46,23.5,129.1,35.1,71.7,0.592,0
Lee & Man Paper Manufacturing Limited (SEHK:2314),IQ5704663,2008,1781.3,1173.7,1112,1110.7,2296.1,56.4,92.3,1773,3015.1,1321.2,1423.7,736.9,0.012
Lee Hing Development Limited (SEHK:68),IQ875198,2008,3862,3862,0,0,2619.4,0,32.2,0.53,209.1,52.4,155.4,0.007,0.019
Lee Kee Holdings limited (SEHK:637),IQ22339983,2008,,,,,,160.5,160.9,13.7,252.1,13.8,223.3,6.56,0.015
Lee Metal Group Ltd (SGX:593),IQ7652937,2008,,,,,,19.1,36.1,15.8,615.2,365.5,82.4,5.21,0.013
Lee's Pharmaceutical Holdings Ltd. (SEHK:950),IQ8598555,2008,,,,,,3.26,4.12,3.64,20,0.713,15.9,1.21,0.003
Leeport (Holdings) Limited (SEHK:387),IQ8192724,2008,,,,,,5.05,5.05,15.6,133.4,46.2,52.6,1.64,0.009
Legend Holdings Corporation (SEHK:3396),IQ21787196,2008,,,,,,,,,,,,,
Legend Strategy International Holdings Group Company Limited (SEHK:1355),IQ136811781,2008,256.2,20.7,1.63,0.763,16.7,,,,,,,,
Lenovo Group Limited (SEHK:992),IQ410120,2008,4.25,-45.3,-55.3,-62.1,22.9,2277.5,3025.9,573.7,9929.3,1065.1,2224.9,264.4,0.028
Leoch International Technology Ltd. (SEHK:842),IQ114661247,2008,30.7,21,18.4,13,10.5,7.54,9.88,63.6,167.4,13.4,75.2,28.8,0
Lerado Group (Holding) Company Limited (SEHK:1225),IQ883209,2008,31.3,9.86,4.1,3.8,3.93,33.4,33.4,60.4,211.4,0,161.9,3.67,0.009
Lereno Bio-Chem Ltd. (Catalist:42H),IQ7652960,2008,16.7,13.1,-2.4,-3.24,-4.02,2.59,2.59,0.198,23.4,2.75,17.4,0.069,0
Ley Choon Group Holdings Limited (SGX:Q0X),IQ145285430,2008,389.5,389.5,0,0,180.6,,,,,,,,
Leyou Technologies Holdings Limited (SEHK:1089),IQ117589746,2008,6309.8,845.5,400.6,301.3,219.8,4.18,4.19,66.7,118.2,61.6,37,23.1,0
LH Group Limited (SGX:C4P),IQ881677,2008,123.4,72.3,64.7,57.9,31.7,10.6,10.7,0.824,25.6,0.622,16.5,0.312,0
LHN Limited (Catalist:41O),IQ288888417,2008,78,10.4,3.59,2.64,2.34,,,,,,,,
LHT Holdings Limited (SGX:BEI),IQ7658143,2008,,,,,,3.29,3.35,16.5,34.3,2.31,26.2,1.98,0.008
Li & Fung Limited (SEHK:494),IQ795846,2008,,,,,,422.7,422.7,238.4,6968.8,896.6,2486.3,91.8,0.053
Li Heng Chemical Fibre Technologies Limited (SGX:AXZ),IQ39636330,2008,,,,,,274.8,274.8,390.7,814.7,38.2,724.6,261.3,0.128
Li Ning Company Limited (SEHK:2331),IQ10877491,2008,66.2,37.1,2.3,-2,0.393,166.3,166.3,132.8,915.1,128.2,440.8,42.7,0.044
Lian Beng Group Ltd (SGX:L03),IQ2445978,2008,47.5,35.2,36.1,27.4,6175.5,5.32,6.5,23.8,311.3,147.8,108.2,5.84,0.005
Lianhua Supermarket Holdings Co. Ltd. (SEHK:980),IQ5886159,2008,2354.2,1068.2,721.2,694.8,2699.9,729.9,1406.2,617.3,3100.3,48.3,642.3,108,0.029
Libra Group Limited (Catalist:5TR),IQ142466452,2008,396.8,89,49.9,41.5,44.5,0.242,0.242,1.04,6,1.53,1.4,0.355,0
LifeBrandz Ltd. (SGX:L20),IQ10461378,2008,5.73,0.089,-2.63,-2.72,-2.76,12.2,12.5,13.3,29.3,7.21,15.3,2.56,0
Lifestyle International Holdings Ltd. (SEHK:1212),IQ9649703,2008,1486.6,595,337.2,285.3,249.1,453.2,465.9,722.8,1962.3,564.1,1087.8,143.5,0.045
Lifestyle Properties Development Limited (SEHK:2183),IQ224384344,2008,1164,278.3,153.5,145.7,97.1,,,,,,,,
Lifetech Scientific Corporation (SEHK:1302),IQ142372041,2008,,,,,,,,,,,,,
Linair Technologies Limited (Catalist:5FW),IQ13757626,2008,,,,,,5.05,5.37,7.54,50.6,10.2,18.6,0.855,0
